ID	OPERATEID	USERID	USERIP	URL	STARTTIME	ENDTIME	MODULE	DESCRIPTION	MACADDR	TIMECOST	OPERATE
269	820f68e0e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/UserController/dataGrid.do	2014/5/29 14:21:45	2014/5/29 14:21:45				12	
270	823fa0a0e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:21:45	2014/5/29 14:21:45				8	
271	8271d430e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:21:46	2014/5/29 14:21:46				30	
272	83eb06b1e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:21:48	2014/5/29 14:21:48				7	
273	885e8d70e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/allTree.do	2014/5/29 14:21:56	2014/5/29 14:21:56				11	
274	8a7e8740e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/grantPriv.do	2014/5/29 14:21:59	2014/5/29 14:21:59				75	
275	90d39f40e6f911e3d8def0acd373127e	bbb	0:0:0:0:0:0:0:1	/authorization/controller/UserController/dataGrid.do	2014/5/29 14:22:10	2014/5/29 14:22:10				10	
276	910843d0e6f911e3d8def0acd373127e	bbb	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:22:10	2014/5/29 14:22:10				9	
277	912e1b50e6f911e3d8def0acd373127e	bbb	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:22:10	2014/5/29 14:22:10				12	
278	9224b050e6f911e3d8def0acd373127e	bbb	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/allTree.do	2014/5/29 14:22:12	2014/5/29 14:22:12				7	
279	970b9250e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/UserController/dataGrid.do	2014/5/29 14:22:20	2014/5/29 14:22:20				9	
280	9747ff10e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:22:21	2014/5/29 14:22:21				7	
281	9772dfa0e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:22:21	2014/5/29 14:22:21				11	
