SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
334	1573cf10e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:48:23	2014/5/29 11:48:23	01	01	6
335	15744440e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:48:23	2014/5/29 11:48:23	01	01	3
336	1b455f30e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:48:33	2014/5/29 11:48:33	01	01	5
337	1b45d460e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:48:33	2014/5/29 11:48:33	01	01	3
338	248dc690e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:48:49	2014/5/29 11:48:49	01	01	4
339	248e62d0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:48:49	2014/5/29 11:48:49	01	01	3
340	25c05320e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:48:51	2014/5/29 11:48:51	01	01	4
341	25c0a140e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:48:51	2014/5/29 11:48:51	01	01	2
342	2c59c720e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:49:02	2014/5/29 11:49:02	01	01	10
343	2c5a3c50e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:49:02	2014/5/29 11:49:02	01	01	3
